Date,P1_QQQ_vs_IWM_Cumulative_Growth,P2_SPY_vs_IWM_Cumulative_Growth,P3_Long_QQQ_Cumulative_Growth,P4_Long_SPY_Cumulative_Growth,P5_Long_IWM_Cumulative_Growth
2022-09-15,116.88,125.68,87.09,92.83,80.49
2022-09-16,118.56,126.24,86.56,91.74,79.32
2022-09-19,118.06,126.1,87.08,92.46,79.99
2022-09-20,119.18,126.52,86.38,91.39,78.9
2022-09-21,118.66,126.1,84.84,89.8,77.7
2022-09-22,120.7,128.92,83.79,89.05,75.95
2022-09-23,122.2,130.32,82.43,87.55,74.14
2022-09-26,125.14,132.1,82.09,86.69,72.75
2022-09-27,124.54,130.9,82.12,86.46,73.0
2022-09-28,122.2,128.52,83.76,88.16,75.3
2022-09-29,120.92,128.82,81.35,86.32,73.62
2022-09-30,118.98,127.18,79.96,84.98,73.08
2022-10-03,118.38,127.16,81.84,87.23,75.01
2022-10-04,116.74,125.44,84.41,89.93,77.98
2022-10-05,118.12,126.46,84.37,89.72,77.41
2022-10-06,117.66,125.52,83.7,88.8,76.97
2022-10-07,115.92,125.82,80.51,86.32,74.71
2022-10-10,115.04,125.42,79.71,85.67,74.29
2022-10-11,112.24,124.1,78.62,85.13,74.32
2022-10-12,112.72,123.98,78.59,84.85,74.11
2022-10-13,112.46,124.3,80.44,87.09,75.95
2022-10-14,111.8,125.1,78.02,85.1,73.92
2022-10-17,112.02,123.86,80.59,87.29,76.27
2022-10-18,111.22,123.82,81.23,88.31,77.18
2022-10-19,113.9,125.8,80.94,87.68,75.87
2022-10-20,115.42,126.66,80.52,86.95,74.91
2022-10-21,115.76,127.18,82.41,89.06,76.53
2022-10-24,117.1,128.76,83.32,90.14,76.86
2022-10-25,115.78,126.5,85.04,91.59,78.96
2022-10-26,110.38,124.02,83.16,90.9,79.35
2022-10-27,106.7,122.92,81.65,90.42,79.36
2022-10-28,108.28,123.14,84.15,92.57,81.16
2022-10-31,105.78,121.52,83.17,91.9,81.24
2022-11-01,103.46,120.36,82.32,91.5,81.35
2022-11-02,103.24,121.98,79.5,89.2,78.65
2022-11-03,100.68,121.26,77.95,88.28,78.12
2022-11-04,101.2,121.44,79.2,89.55,79.18
2022-11-07,102.5,122.46,80.07,90.41,79.53
2022-11-08,103.88,123.46,80.66,90.9,79.57
2022-11-09,104.76,124.84,78.79,89.03,77.38
2022-11-10,107.2,123.52,84.61,93.93,82.14
2022-11-11,109.24,123.82,86.17,94.84,82.82
2022-11-14,109.72,124.36,85.41,94.03,81.89
2022-11-15,109.52,123.1,86.59,94.83,83.1
2022-11-16,110.32,125.1,85.41,94.11,81.64
2022-11-17,111.74,126.34,85.22,93.82,80.88
2022-11-18,110.44,125.94,85.22,94.24,81.41
2022-11-21,109.42,126.26,84.34,93.9,80.98
2022-11-22,110.16,126.82,85.56,95.17,81.85
2022-11-23,111.64,127.56,86.41,95.77,82.06
2022-11-25,109.9,127.1,85.84,95.75,82.23
2022-11-28,111.0,127.94,84.58,94.22,80.57
2022-11-29,108.9,127.02,83.94,94.06,80.81
2022-11-30,112.54,127.84,87.77,97.02,83.02
2022-12-01,113.22,128.14,87.87,96.95,82.84
2022-12-02,111.26,126.74,87.52,96.84,83.32
2022-12-05,113.4,128.64,86.05,95.09,81.03
2022-12-06,112.32,128.82,84.27,93.72,79.79
2022-12-07,112.08,129.06,83.92,93.56,79.56
2022-12-08,113.0,129.18,84.91,94.29,80.13
2022-12-09,114.18,130.14,84.37,93.59,79.14
2022-12-12,114.34,130.66,85.43,94.93,80.08
2022-12-13,115.76,131.44,86.36,95.66,80.37
2022-12-14,115.6,131.48,85.72,95.04,79.84
2022-12-15,113.88,131.58,82.84,92.72,77.85
2022-12-16,113.48,129.82,82.05,91.2,77.26
2022-12-19,112.9,130.82,80.7,90.43,76.22
2022-12-20,111.68,130.04,80.64,90.56,76.62
2022-12-21,111.14,129.6,81.81,91.91,77.94
2022-12-22,108.86,129.36,79.8,90.6,76.92
2022-12-23,108.38,129.6,79.98,91.12,77.28
2022-12-27,106.9,130.16,78.85,90.77,76.76
2022-12-28,107.36,130.78,77.81,89.64,75.57
2022-12-29,107.18,129.32,79.71,91.26,77.48
2022-12-30,107.62,129.36,79.66,91.02,77.26
2023-01-03,107.36,129.62,79.12,90.64,76.84
2023-01-04,105.82,128.66,79.5,91.34,77.8
2023-01-05,104.82,128.52,78.25,90.29,76.97
2023-01-06,105.84,128.6,80.41,92.36,78.7
2023-01-09,106.8,128.14,80.93,92.31,78.83
2023-01-10,105.54,126.58,81.62,92.95,80.0
2023-01-11,106.5,126.6,83.03,94.12,81.0
2023-01-12,104.22,123.96,83.48,94.46,82.36
2023-01-13,104.28,123.42,84.06,94.83,82.9
2023-01-17,104.92,123.3,84.23,94.66,82.8
2023-01-18,105.56,123.38,83.13,93.17,81.46
2023-01-19,105.52,123.84,82.32,92.49,80.68
2023-01-20,107.7,124.26,84.57,94.21,82.01
2023-01-23,109.66,124.18,86.45,95.34,83.03
2023-01-24,109.68,124.38,86.28,95.23,82.85
2023-01-25,108.68,123.9,86.09,95.27,83.09
2023-01-26,111.4,124.92,87.77,96.32,83.58
2023-01-27,112.32,124.3,88.64,96.54,84.03
2023-01-30,111.06,124.58,86.85,95.33,82.86
2023-01-31,109.2,122.66,88.16,96.73,84.87
2023-02-01,110.34,121.64,90.04,97.76,86.2
2023-02-02,113.58,120.62,93.28,99.19,87.9
2023-02-03,111.36,119.84,91.62,98.13,87.31
2023-02-06,112.56,121.52,90.84,97.54,86.05
2023-02-07,115.22,122.66,92.72,98.81,86.68
2023-02-08,114.58,123.4,91.07,97.74,85.42
2023-02-09,115.72,124.56,90.26,96.89,84.18
2023-02-10,114.0,124.62,89.67,97.11,84.35
2023-02-13,114.8,124.56,91.1,98.25,85.36
2023-02-14,116.38,124.56,91.78,98.2,85.32
2023-02-15,115.9,123.18,92.48,98.51,86.18
2023-02-16,114.06,122.34,90.75,97.15,85.35
2023-02-17,112.08,121.28,90.1,96.91,85.59
2023-02-21,113.24,123.16,87.97,94.96,83.07
2023-02-22,112.84,122.34,88.03,94.83,83.29
2023-02-23,113.16,121.98,88.79,95.33,83.88
2023-02-24,111.7,121.72,87.31,94.31,83.09
2023-02-27,112.44,121.7,87.94,94.63,83.38
2023-02-28,112.16,120.94,87.83,94.28,83.39
2023-03-01,110.3,119.92,87.12,93.92,83.5
2023-03-02,111.48,121.0,87.85,94.65,83.7
