"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2024","241.87","242.37","243.48","241.54","16.78M","0.38%"
"11/27/2024","240.95","242.01","243.69","240.44","19.47M","0.14%"
"11/26/2024","240.62","241.18","241.61","239.43","22.58M","-0.73%"
"11/25/2024","242.40","241.49","244.98","241.39","33.53M","1.52%"
"11/22/2024","238.77","235.64","239.24","235.33","22.69M","1.85%"
"11/21/2024","234.44","232.16","235.57","231.11","28.68M","1.52%"
"11/20/2024","230.93","230.23","230.93","228.04","24.22M","0.13%"
"11/19/2024","230.63","226.59","230.82","226.40","26.01M","0.74%"
"11/18/2024","228.93","229.22","230.60","228.13","29.40M","0.20%"
"11/15/2024","228.48","232.22","232.29","227.81","37.93M","-1.49%"
"11/14/2024","231.94","235.95","236.43","231.21","29.27M","-1.35%"
"11/13/2024","235.11","238.95","239.88","234.83","25.95M","-0.99%"
"11/12/2024","237.46","239.96","241.79","236.56","35.31M","-1.75%"
"11/11/2024","241.70","240.52","242.39","239.85","29.21M","1.50%"
"11/08/2024","238.12","235.93","238.46","235.65","26.60M","0.74%"
"11/07/2024","236.38","236.89","238.49","235.40","34.97M","-0.35%"
"11/06/2024","237.22","236.59","237.58","232.75","75.55M","5.79%"
"11/05/2024","224.23","219.34","224.29","219.06","26.40M","1.88%"
"11/04/2024","220.09","218.50","221.74","217.84","20.46M","0.51%"
"11/01/2024","218.98","219.50","220.97","218.34","21.22M","0.56%"
"10/31/2024","217.76","221.22","221.77","217.63","24.08M","-1.66%"
"10/30/2024","221.44","221.07","224.48","220.90","19.75M","-0.14%"
"10/29/2024","221.74","220.74","221.90","219.97","20.28M","-0.32%"
"10/28/2024","222.46","220.79","222.97","220.48","19.88M","1.63%"
"10/25/2024","218.89","221.31","221.97","218.52","23.81M","-0.38%"
"10/24/2024","219.72","220.43","221.04","218.52","18.38M","0.22%"
"10/23/2024","219.24","220.03","220.80","217.37","23.26M","-0.91%"
"10/22/2024","221.26","221.47","221.83","220.30","15.81M","-0.38%"
"10/21/2024","222.10","225.63","225.69","221.53","24.24M","-1.57%"
"10/18/2024","225.65","226.66","227.03","225.39","20.05M","-0.21%"
"10/17/2024","226.12","226.91","226.96","224.91","18.00M","-0.27%"
"10/16/2024","226.74","224.89","227.17","224.39","27.66M","1.65%"
"10/15/2024","223.07","222.57","225.50","221.98","26.00M","0.08%"
"10/14/2024","222.89","221.45","223.11","220.43","19.26M","0.74%"
"10/11/2024","221.26","216.77","221.61","216.71","19.95M","2.03%"
"10/10/2024","216.85","215.90","216.88","214.60","24.57M","-0.55%"
"10/09/2024","218.06","217.53","219.61","216.92","18.23M","0.22%"
"10/08/2024","217.58","217.63","218.37","216.70","18.12M","0.07%"
"10/07/2024","217.43","218.64","218.66","215.87","14.89M","-0.78%"
"10/04/2024","219.15","219.29","219.98","217.29","27.91M","1.40%"
"10/03/2024","216.13","216.23","217.23","215.08","21.35M","-0.67%"
"10/02/2024","217.59","216.99","218.75","216.21","14.46M","-0.14%"
"10/01/2024","217.89","220.17","220.34","216.30","30.02M","-1.36%"
"09/30/2024","220.89","219.42","221.59","218.58","21.95M","0.25%"
"09/27/2024","220.33","220.86","222.60","219.53","23.96M","0.68%"
"09/26/2024","218.85","220.49","221.13","218.38","24.97M","0.53%"
"09/25/2024","217.69","220.32","220.61","217.54","23.24M","-1.56%"
"09/24/2024","221.13","221.63","221.93","219.50","20.94M","0.17%"
"09/23/2024","220.76","222.69","223.11","220.02","20.16M","-0.37%"
"09/20/2024","221.57","223.45","223.46","221.29","34.59M","-1.07%"
"09/19/2024","223.97","224.66","224.68","221.50","35.37M","2.06%"
"09/18/2024","219.45","219.23","224.94","218.25","54.09M","0.02%"
"09/17/2024","219.41","219.58","221.80","218.47","35.56M","0.83%"
"09/16/2024","217.61","217.63","218.29","216.14","23.29M","0.36%"
"09/13/2024","216.83","214.03","217.25","213.94","37.39M","2.47%"
"09/12/2024","211.61","209.91","212.78","208.41","27.66M","1.29%"
"09/11/2024","208.92","207.47","209.25","204.21","27.18M","0.29%"
"09/10/2024","208.31","208.72","208.86","205.79","23.03M","-0.08%"
"09/09/2024","208.48","208.15","210.26","207.52","23.58M","0.28%"
"09/06/2024","207.90","211.93","213.19","207.14","34.56M","-1.90%"
"09/05/2024","211.93","213.54","214.03","210.92","23.91M","-0.50%"
"09/04/2024","212.99","212.76","215.37","211.70","23.71M","-0.17%"
"09/03/2024","213.35","218.13","219.37","212.91","31.34M","-3.06%"
"08/30/2024","220.08","219.71","220.50","217.40","23.01M","0.58%"
"08/29/2024","218.81","218.78","220.98","217.15","24.60M","0.71%"
"08/28/2024","217.26","217.87","219.12","216.27","19.69M","-0.68%"
"08/27/2024","218.74","218.91","219.37","217.71","19.58M","-0.78%"
"08/26/2024","220.45","221.93","222.45","220.08","24.87M","0.03%"
"08/23/2024","220.38","215.18","221.08","214.79","40.00M","3.19%"
"08/22/2024","213.56","215.57","216.37","213.13","18.08M","-0.88%"
"08/21/2024","215.46","214.28","215.66","212.82","19.62M","1.30%"
"08/20/2024","212.69","214.89","214.95","212.05","21.70M","-1.17%"
"08/19/2024","215.20","212.96","215.21","212.82","17.25M","1.22%"
"08/16/2024","212.60","211.37","213.98","211.28","30.43M","0.26%"
"08/15/2024","212.04","211.26","213.10","209.91","42.56M","2.59%"
"08/14/2024","206.68","208.63","208.75","205.74","25.35M","-0.62%"
"08/13/2024","207.97","206.09","208.38","204.86","25.46M","1.65%"
"08/12/2024","204.60","206.61","206.98","203.82","20.36M","-0.90%"
"08/09/2024","206.46","207.05","207.12","204.94","20.95M","-0.21%"
"08/08/2024","206.89","204.42","207.00","203.17","26.55M","2.43%"
"08/07/2024","201.98","207.85","207.96","201.56","30.59M","-1.18%"
"08/06/2024","204.40","203.01","207.25","201.20","37.07M","1.09%"
"08/05/2024","202.20","197.90","204.74","196.70","65.68M","-3.22%"
"08/02/2024","208.92","208.85","211.19","206.99","66.85M","-3.54%"
"08/01/2024","216.58","223.77","224.89","215.06","71.51M","-3.25%"
"07/31/2024","223.86","223.71","228.63","221.98","52.39M","0.58%"
"07/30/2024","222.57","222.72","224.46","221.11","26.88M","0.38%"
"07/29/2024","221.73","224.71","225.42","220.77","33.87M","-1.11%"
"07/26/2024","224.22","223.90","225.39","221.70","40.82M","1.65%"
"07/25/2024","220.57","218.45","224.02","218.20","45.05M","1.25%"
"07/24/2024","217.85","221.07","223.86","217.71","42.44M","-2.15%"
"07/23/2024","222.63","219.21","223.75","219.04","44.88M","1.06%"
"07/22/2024","220.29","217.68","220.65","215.38","36.19M","1.59%"
"07/19/2024","216.84","217.63","218.65","215.85","37.93M","-0.51%"
"07/18/2024","217.95","221.41","224.78","216.98","53.18M","-1.93%"
"07/17/2024","222.25","222.36","226.64","221.66","66.09M","-1.05%"
"07/16/2024","224.60","219.14","224.86","219.02","67.95M","3.41%"
"07/15/2024","217.19","214.79","218.24","214.30","48.93M","1.90%"
"07/12/2024","213.14","212.92","214.94","212.66","50.81M","1.17%"
"07/11/2024","210.68","207.90","211.23","206.94","65.44M","3.59%"
"07/10/2024","203.37","202.29","203.59","201.49","19.29M","0.98%"
"07/09/2024","201.40","201.92","202.52","200.53","17.92M","-0.44%"
"07/08/2024","202.28","202.51","203.70","201.84","20.82M","0.70%"
"07/05/2024","200.87","201.21","201.63","199.88","17.28M","-0.48%"
"07/03/2024","201.83","202.25","203.28","201.63","15.17M","-0.02%"
"07/02/2024","201.88","201.52","202.27","200.90","17.22M","0.34%"
"07/01/2024","201.19","203.52","203.82","200.48","21.89M","-0.84%"
"06/28/2024","202.89","203.88","204.63","201.32","35.03M","0.41%"
"06/27/2024","202.06","200.63","202.15","199.96","17.43M","1.01%"
"06/26/2024","200.03","199.33","200.58","198.81","19.31M","-0.26%"
"06/25/2024","200.56","201.13","201.16","199.82","16.15M","-0.33%"
"06/24/2024","201.22","200.69","202.69","200.53","22.29M","0.43%"
"06/21/2024","200.35","199.93","200.41","198.46","37.57M","0.23%"
"06/20/2024","199.90","200.32","201.86","199.22","28.00M","-0.42%"
"06/18/2024","200.75","200.46","201.69","200.03","25.45M","0.17%"
"06/17/2024","200.40","198.12","200.95","197.41","25.54M","0.84%"
"06/14/2024","198.73","199.56","200.04","197.94","33.45M","-1.59%"
"06/13/2024","201.94","203.27","203.54","200.51","28.02M","-0.87%"
"06/12/2024","203.72","205.87","207.27","203.10","43.67M","1.54%"
"06/11/2024","200.64","199.64","201.02","198.42","23.77M","-0.62%"
"06/10/2024","201.89","199.52","202.13","199.01","25.12M","0.34%"
"06/07/2024","201.20","201.53","203.17","200.68","26.04M","-1.17%"
"06/06/2024","203.59","204.18","204.81","202.99","17.34M","-0.72%"
"06/05/2024","205.06","203.30","205.06","201.79","20.71M","1.53%"
"06/04/2024","201.97","203.15","204.50","201.65","27.10M","-1.29%"
"06/03/2024","204.61","207.53","207.55","203.15","23.90M","-0.56%"
"05/31/2024","205.77","204.95","206.28","203.08","25.78M","0.84%"
"05/30/2024","204.05","203.51","204.94","203.08","20.54M","0.95%"
"05/29/2024","202.13","202.53","203.01","201.78","25.65M","-1.48%"
"05/28/2024","205.16","206.97","207.09","203.96","18.48M","-0.14%"
"05/24/2024","205.44","204.79","205.68","203.96","19.95M","1.11%"
"05/23/2024","203.19","207.51","207.62","202.35","34.04M","-1.64%"
"05/22/2024","206.58","207.53","208.22","205.80","20.85M","-0.84%"
"05/21/2024","208.34","207.83","208.69","207.59","13.47M","-0.10%"
"05/20/2024","208.54","208.02","209.48","207.77","15.70M","0.22%"
"05/17/2024","208.08","208.01","208.52","207.35","35.22M","0.07%"
"05/16/2024","207.93","208.90","209.35","207.93","26.73M","-0.72%"
"05/15/2024","209.44","209.21","209.77","207.72","33.41M","1.25%"
"05/14/2024","206.86","207.13","207.74","205.91","33.17M","1.04%"
"05/13/2024","204.74","206.08","206.55","204.60","18.59M","0.21%"
"05/10/2024","204.31","206.35","206.62","203.68","21.52M","-0.75%"
"05/09/2024","205.86","203.97","205.99","203.41","22.91M","1.02%"
"05/08/2024","203.78","202.72","203.96","202.55","18.35M","-0.58%"
"05/07/2024","204.97","204.77","206.15","204.50","20.12M","0.22%"
"05/06/2024","204.51","203.47","204.78","203.38","23.13M","1.29%"
"05/03/2024","201.90","203.41","204.16","201.12","30.88M","0.99%"
"05/02/2024","199.92","198.78","200.12","196.54","27.20M","1.84%"
"05/01/2024","196.31","195.88","200.32","195.02","38.78M","0.21%"
"04/30/2024","195.90","198.11","198.65","195.75","30.61M","-2.03%"
