"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","479.66","473.73","480.56","473.12","43.56M","2.42%"
"03/13/2025","468.34","476.25","476.28","466.43","46.56M","-1.80%"
"03/12/2025","476.92","479.16","481.06","471.79","46.97M","1.13%"
"03/11/2025","471.60","472.35","478.80","467.01","68.76M","-0.24%"
"03/10/2025","472.73","483.45","483.97","468.66","76.67M","-3.88%"
"03/07/2025","491.79","487.16","493.28","480.53","54.71M","0.74%"
"03/06/2025","488.20","493.69","498.58","486.20","57.57M","-2.75%"
"03/05/2025","502.01","496.20","503.63","491.26","46.32M","1.30%"
"03/04/2025","495.55","494.18","503.74","487.73","67.88M","-0.30%"
"03/03/2025","497.05","511.52","513.04","493.58","44.59M","-2.19%"
"02/28/2025","508.17","500.13","508.78","496.93","47.65M","1.58%"
"02/27/2025","500.27","518.13","519.07","500.05","52.45M","-2.78%"
"02/26/2025","514.56","515.53","519.66","511.37","34.46M","0.24%"
"02/25/2025","513.32","519.24","519.32","509.44","48.94M","-1.26%"
"02/24/2025","519.87","527.88","529.07","519.53","39.27M","-1.18%"
"02/21/2025","526.08","538.38","538.40","525.71","47.09M","-2.08%"
"02/20/2025","537.23","538.73","539.10","532.46","26.55M","-0.42%"
"02/19/2025","539.52","538.57","540.81","536.46","19.67M","0.03%"
"02/18/2025","539.37","539.73","540.00","536.04","20.57M","0.23%"
"02/14/2025","538.15","536.01","538.84","535.67","17.86M","0.42%"
"02/13/2025","535.90","529.98","536.22","529.19","28.71M","1.44%"
"02/12/2025","528.30","522.30","529.19","521.95","25.01M","0.06%"
"02/11/2025","527.99","525.96","529.92","525.83","19.33M","-0.24%"
"02/10/2025","529.25","527.22","530.36","526.75","20.85M","1.21%"
"02/07/2025","522.92","530.14","532.10","522.19","29.61M","-1.26%"
"02/06/2025","529.60","527.36","529.81","525.74","19.43M","0.52%"
"02/05/2025","526.85","521.82","527.01","520.62","21.13M","0.45%"
"02/04/2025","524.47","518.63","525.11","518.23","26.05M","1.23%"
"02/03/2025","518.11","513.47","520.85","511.05","40.58M","-0.80%"
"01/31/2025","522.29","526.92","531.52","521.19","38.85M","-0.15%"
"01/30/2025","523.05","523.71","526.09","518.21","27.43M","0.43%"
"01/29/2025","520.83","522.46","522.59","516.90","26.65M","-0.19%"
"01/28/2025","521.81","515.22","523.00","511.78","33.19M","1.48%"
"01/27/2025","514.21","511.00","517.99","510.15","60.77M","-2.91%"
"01/24/2025","529.63","533.02","533.79","528.15","19.88M","-0.57%"
"01/23/2025","532.64","529.04","532.76","528.45","23.10M","0.21%"
"01/22/2025","531.51","529.57","533.82","529.26","33.59M","1.28%"
"01/21/2025","524.80","524.48","525.97","520.06","23.63M","0.59%"
"01/17/2025","521.74","522.85","524.07","513.11","51.84M","1.69%"
"01/16/2025","513.08","518.98","519.06","512.95","28.23M","-0.70%"
"01/15/2025","516.70","513.03","517.85","511.46","34.96M","2.30%"
"01/14/2025","505.08","508.74","510.15","501.59","33.74M","-0.09%"
"01/13/2025","505.56","501.20","506.02","499.70","31.69M","-0.32%"
"01/10/2025","507.19","511.48","511.58","503.92","40.53M","-1.57%"
"01/08/2025","515.27","515.08","516.92","510.57","30.78M","0.02%"
"01/07/2025","515.18","525.59","525.99","513.28","36.69M","-1.78%"
"01/06/2025","524.54","524.02","527.92","522.03","36.11M","1.15%"
"01/03/2025","518.58","513.35","519.65","512.53","29.06M","1.64%"
"01/02/2025","510.23","514.30","516.64","505.71","36.39M","-0.20%"
"12/31/2024","511.23","516.90","517.66","510.26","29.12M","-0.85%"
"12/30/2024","515.61","515.51","519.36","511.83","34.58M","-1.33%"
"12/27/2024","522.56","526.01","526.45","517.86","33.84M","-1.33%"
"12/26/2024","529.60","528.32","531.24","526.31","19.14M","-0.07%"
"12/24/2024","529.96","524.83","530.05","524.19","17.56M","1.36%"
"12/23/2024","522.87","519.55","523.25","516.13","29.67M","0.81%"
"12/20/2024","518.66","510.44","524.82","509.29","60.53M","0.87%"
"12/19/2024","514.17","521.19","521.76","513.83","46.44M","-0.45%"
"12/18/2024","516.47","535.15","536.88","515.01","54.70M","-3.61%"
"12/17/2024","535.80","536.36","537.48","534.13","28.58M","-0.44%"
"12/16/2024","538.17","533.08","539.15","533.00","31.98M","1.44%"
"12/13/2024","530.53","530.46","533.17","527.30","28.78M","0.77%"
"12/12/2024","526.50","527.68","528.96","526.02","23.58M","-0.65%"
"12/11/2024","529.92","525.00","530.61","524.59","32.17M","1.79%"
"12/10/2024","520.60","523.62","525.38","519.16","24.35M","-0.34%"
"12/09/2024","522.38","525.55","526.35","521.22","20.67M","-0.78%"
"12/06/2024","526.48","522.48","526.72","522.35","23.76M","0.89%"
"12/05/2024","521.81","523.31","524.04","521.42","18.17M","-0.28%"
"12/04/2024","523.26","520.32","523.52","519.60","26.09M","1.24%"
"12/03/2024","516.87","513.95","517.15","513.37","18.60M","0.31%"
"12/02/2024","515.29","511.01","516.26","510.62","25.15M","1.09%"
"11/29/2024","509.74","505.93","510.34","505.31","15.33M","0.88%"
"11/27/2024","505.30","508.17","508.24","501.93","24.96M","-0.79%"
"11/26/2024","509.31","508.08","510.14","507.23","26.56M","0.54%"
"11/25/2024","506.59","509.90","511.45","504.26","26.38M","0.16%"
"11/22/2024","505.79","504.42","506.53","502.78","23.83M","0.16%"
"11/21/2024","504.98","506.24","506.96","497.56","34.53M","0.36%"
"11/20/2024","503.17","503.16","503.48","496.55","29.57M","-0.06%"
"11/19/2024","503.46","497.42","503.95","497.08","24.52M","0.69%"
"11/18/2024","500.02","498.13","502.14","496.73","27.19M","0.69%"
"11/15/2024","496.57","502.94","503.33","494.49","51.46M","-2.38%"
"11/14/2024","508.69","511.91","512.79","507.77","28.68M","-0.69%"
"11/13/2024","512.25","512.40","514.98","509.95","24.57M","-0.13%"
"11/12/2024","512.91","513.77","514.66","509.83","25.84M","-0.18%"
"11/11/2024","513.84","515.37","515.58","510.92","24.17M","-0.06%"
"11/08/2024","514.14","513.03","514.92","512.41","22.92M","0.12%"
"11/07/2024","513.54","508.40","514.33","508.34","32.85M","1.57%"
"11/06/2024","505.58","500.56","506.41","499.60","43.08M","2.72%"
"11/05/2024","492.21","487.61","492.88","487.52","24.35M","1.28%"
"11/04/2024","486.01","486.82","489.38","484.25","23.29M","-0.29%"
"11/01/2024","487.43","485.50","490.75","485.20","33.66M","0.74%"
"10/31/2024","483.85","492.38","492.43","483.75","41.25M","-2.52%"
"10/30/2024","496.38","499.39","500.35","495.89","29.76M","-0.76%"
"10/29/2024","500.16","495.72","501.35","493.85","28.01M","0.96%"
"10/28/2024","495.40","498.46","498.52","495.10","20.48M","0.02%"
"10/25/2024","495.32","495.14","500.28","494.43","38.76M","0.61%"
"10/24/2024","492.32","492.11","493.00","489.44","22.02M","0.81%"
"10/23/2024","488.36","493.59","494.25","485.05","39.35M","-1.53%"
"10/22/2024","495.96","492.73","497.45","491.97","26.69M","0.11%"
"10/21/2024","495.42","493.25","496.23","491.31","30.34M","0.19%"
"10/18/2024","494.47","494.06","495.57","493.30","25.34M","0.66%"
"10/17/2024","491.25","496.44","496.49","491.19","27.21M","0.07%"
"10/16/2024","490.91","491.18","491.69","487.57","23.00M","0.01%"
"10/15/2024","490.85","497.83","498.50","488.68","34.78M","-1.34%"
"10/14/2024","497.50","495.77","498.83","495.26","26.06M","0.84%"
"10/11/2024","493.36","490.74","494.39","490.17","20.64M","0.16%"
"10/10/2024","492.59","490.85","494.47","489.53","25.75M","-0.11%"
"10/09/2024","493.15","489.00","493.73","487.95","24.99M","0.79%"
"10/08/2024","489.30","484.66","489.99","483.85","28.27M","1.49%"
"10/07/2024","482.10","485.39","486.57","480.87","24.98M","-1.07%"
"10/04/2024","487.32","487.45","487.88","482.39","30.74M","1.19%"
"10/03/2024","481.59","479.74","484.55","478.99","25.34M","-0.07%"
"10/02/2024","481.95","480.36","483.88","477.72","23.74M","0.14%"
"10/01/2024","481.27","487.70","488.00","477.40","42.74M","-1.39%"
"09/30/2024","488.07","485.78","488.41","482.92","30.33M","0.27%"
"09/27/2024","486.75","490.50","490.64","485.56","22.85M","-0.56%"
"09/26/2024","489.47","493.37","493.70","485.80","32.02M","0.75%"
"09/25/2024","485.82","484.74","487.79","484.56","26.55M","0.09%"
"09/24/2024","485.37","484.46","486.33","480.17","25.95M","0.48%"
"09/23/2024","483.04","482.95","484.14","481.60","24.84M","0.12%"
"09/20/2024","482.44","482.49","483.69","478.30","34.58M","-0.19%"
"09/19/2024","483.36","482.61","486.23","480.49","52.78M","2.53%"
"09/18/2024","471.44","474.70","478.83","470.83","39.91M","-0.43%"
"09/17/2024","473.49","476.29","477.60","470.97","30.08M","0.05%"
"09/16/2024","473.24","473.19","473.86","469.89","22.59M","-0.44%"
"09/13/2024","475.34","472.48","476.53","472.25","29.11M","0.45%"
"09/12/2024","473.22","468.65","474.04","466.85","40.18M","0.98%"
"09/11/2024","468.62","459.91","469.37","451.28","57.84M","2.17%"
"09/10/2024","458.66","456.24","459.17","452.23","29.68M","0.92%"
"09/09/2024","454.46","453.06","455.46","449.82","32.98M","1.29%"
"09/06/2024","448.69","460.33","461.22","448.19","50.62M","-2.68%"
"09/05/2024","461.04","458.97","465.36","457.94","34.45M","0.09%"
"09/04/2024","460.61","458.67","464.45","457.73","32.51M","-0.26%"
"09/03/2024","461.81","473.20","473.33","459.41","44.99M","-3.04%"
"08/30/2024","476.27","475.04","476.90","470.51","33.47M","1.19%"
"08/29/2024","470.66","473.28","477.93","469.37","41.08M","-0.15%"
"08/28/2024","471.35","476.29","477.02","467.89","37.37M","-1.13%"
"08/27/2024","476.76","473.69","477.84","471.71","27.51M","0.30%"
"08/26/2024","475.34","479.45","480.38","473.24","27.45M","-0.97%"
"08/23/2024","480.00","479.24","482.74","475.28","36.06M","1.08%"
"08/22/2024","474.85","484.84","485.54","473.81","37.74M","-1.59%"
"08/21/2024","482.50","481.05","484.37","479.32","25.66M","0.47%"
"08/20/2024","480.26","480.35","482.94","478.55","29.21M","-0.21%"
"08/19/2024","481.27","475.17","481.31","473.37","23.74M","1.31%"
"08/16/2024","475.03","472.62","476.41","471.65","38.38M","0.13%"
"08/15/2024","474.42","468.76","474.82","468.38","38.28M","2.53%"
"08/14/2024","462.73","463.51","465.11","458.40","34.73M","0.03%"
"08/13/2024","462.58","455.82","462.85","455.68","40.08M","2.48%"
"08/12/2024","451.38","451.39","454.37","448.55","27.80M","0.22%"
"08/09/2024","450.41","446.74","452.06","445.61","33.57M","0.52%"
"08/08/2024","448.07","441.06","448.99","437.15","47.89M","3.06%"
"08/07/2024","434.77","446.49","449.00","434.37","54.93M","-1.08%"
"08/06/2024","439.53","437.23","447.07","434.56","63.16M","0.96%"
"08/05/2024","435.37","424.71","442.29","423.45","87.48M","-2.98%"
"08/02/2024","448.75","450.89","453.57","444.47","66.32M","-2.37%"
"08/01/2024","459.66","471.76","475.55","455.98","56.65M","-2.42%"
"07/31/2024","471.07","467.87","472.79","466.41","44.55M","2.96%"
"07/30/2024","457.53","465.85","466.56","454.15","41.32M","-1.37%"
"07/29/2024","463.90","465.71","467.91","461.61","28.22M","0.20%"
"07/26/2024","462.97","462.65","465.93","459.77","39.99M","1.03%"
"07/25/2024","458.27","463.72","467.94","455.63","59.26M","-1.10%"
"07/24/2024","463.38","473.82","474.19","462.51","58.82M","-3.59%"
"07/23/2024","480.62","481.41","484.43","480.14","23.28M","-0.35%"
"07/22/2024","482.32","481.16","483.35","477.71","40.30M","1.49%"
"07/19/2024","475.24","479.15","481.69","473.94","42.04M","-0.89%"
"07/18/2024","479.49","485.53","485.71","476.27","49.35M","-0.47%"
"07/17/2024","481.77","488.28","488.80","481.70","56.27M","-2.94%"
"07/16/2024","496.34","497.62","498.44","493.15","25.95M","0.04%"
"07/15/2024","496.15","496.61","501.01","494.09","31.15M","0.27%"
"07/12/2024","494.82","492.51","499.62","492.04","37.11M","0.59%"
"07/11/2024","491.93","503.07","503.28","490.73","49.97M","-2.19%"
"07/10/2024","502.96","499.71","503.52","498.39","28.05M","1.04%"
"07/09/2024","497.77","498.87","500.00","496.24","25.70M","0.09%"
"07/08/2024","497.34","496.53","497.89","495.50","22.11M","0.24%"
"07/05/2024","496.16","491.89","496.60","491.59","28.50M","1.04%"
"07/03/2024","491.04","486.22","491.17","486.22","18.06M","0.83%"
"07/02/2024","486.98","480.41","487.04","480.28","26.72M","1.05%"
"07/01/2024","481.92","480.04","482.49","476.26","24.90M","0.59%"
"06/28/2024","479.11","482.41","487.20","478.46","34.88M","-0.52%"
"06/27/2024","481.61","480.12","483.10","479.30","26.22M","0.26%"
"06/26/2024","480.37","478.55","480.92","478.13","22.74M","0.21%"
"06/25/2024","479.38","476.07","479.68","475.12","29.25M","1.14%"
"06/24/2024","473.96","478.18","479.93","473.82","37.75M","-1.30%"
"06/21/2024","480.18","481.19","482.54","478.67","39.43M","-0.27%"
"06/20/2024","481.47","486.42","486.84","479.62","33.92M","-0.77%"
"06/18/2024","485.21","485.01","485.90","483.43","24.44M","0.03%"
"06/17/2024","485.06","479.46","486.86","478.14","37.05M","1.22%"
"06/14/2024","479.19","476.52","479.26","476.05","23.37M","0.52%"
"06/13/2024","476.72","477.72","478.39","474.42","25.86M","0.54%"
"06/12/2024","474.15","471.99","476.50","471.29","34.53M","1.31%"
"06/11/2024","468.02","463.54","468.14","462.03","22.05M","0.69%"
"06/10/2024","464.83","461.82","465.19","461.53","20.72M","0.40%"
"06/07/2024","462.96","463.00","465.74","461.84","25.83M","-0.09%"
"06/06/2024","463.37","464.22","464.54","462.19","21.97M","-0.03%"
"06/05/2024","463.53","457.98","463.61","454.41","33.82M","2.02%"
"06/04/2024","454.37","452.87","455.58","451.13","23.77M","0.27%"
"06/03/2024","453.13","454.57","455.58","447.90","33.00M","0.54%"
"05/31/2024","450.71","451.78","452.48","443.05","55.94M","-0.19%"
"05/30/2024","451.55","455.50","455.64","450.21","30.71M","-1.07%"
"05/29/2024","456.44","455.48","458.24","455.34","29.74M","-0.70%"
"05/28/2024","459.68","459.18","459.74","456.69","26.22M","0.38%"
"05/24/2024","457.95","455.29","459.23","453.57","29.67M","0.95%"
"05/23/2024","453.66","460.55","460.58","451.85","40.90M","-0.45%"
"05/22/2024","455.71","456.06","456.82","453.08","25.12M","-0.02%"
"05/21/2024","455.80","453.04","455.99","452.84","23.17M","0.20%"
"05/20/2024","454.91","451.98","455.58","451.79","24.47M","0.70%"
"05/17/2024","451.76","452.11","452.72","449.54","35.80M","-0.05%"
"05/16/2024","451.98","452.71","454.69","451.81","34.78M","-0.20%"
"05/15/2024","452.90","448.43","453.15","446.90","41.46M","1.56%"
"05/14/2024","445.93","442.65","446.46","442.46","34.48M","0.64%"
"05/13/2024","443.08","443.99","444.09","441.65","22.99M","0.23%"
"05/10/2024","442.06","442.54","444.31","440.50","27.12M","0.24%"
"05/09/2024","441.02","440.33","441.60","438.46","24.58M","0.22%"
"05/08/2024","440.06","437.67","441.48","437.55","24.90M","-0.06%"
"05/07/2024","440.32","440.70","441.97","439.58","31.00M","0.02%"
"05/06/2024","440.25","437.30","440.34","436.52","30.23M","1.10%"
"05/03/2024","435.48","434.44","436.48","432.62","48.52M","2.01%"
"05/02/2024","426.90","425.30","427.81","420.63","36.56M","1.28%"
"05/01/2024","421.52","423.15","430.14","420.66","52.25M","-0.72%"
"04/30/2024","424.59","431.15","432.56","424.51","43.67M","-1.89%"
"04/29/2024","432.75","433.13","433.76","429.98","30.02M","0.41%"
"04/26/2024","431.00","427.62","432.55","426.92","41.87M","1.54%"
"04/25/2024","424.45","419.24","425.32","418.14","57.39M","-0.48%"
"04/24/2024","426.51","428.20","429.73","424.20","48.44M","0.34%"
"04/23/2024","425.07","420.77","426.28","418.87","44.38M","1.49%"
"04/22/2024","418.82","417.31","421.18","413.94","47.81M","1.01%"
"04/19/2024","414.65","422.22","422.75","413.07","75.23M","-2.07%"
"04/18/2024","423.41","426.49","428.24","422.83","46.55M","-0.57%"
"04/17/2024","425.84","433.10","433.12","424.90","56.88M","-1.22%"
"04/16/2024","431.10","430.90","433.76","429.70","47.62M","0.01%"
"04/15/2024","431.06","442.06","442.15","430.21","63.45M","-1.65%"
"04/12/2024","438.27","441.10","442.24","436.88","53.66M","-1.59%"
"04/11/2024","445.37","440.26","446.33","437.96","45.47M","1.60%"
"04/10/2024","438.37","437.00","439.24","436.28","61.50M","-0.87%"
"04/09/2024","442.23","442.96","443.24","437.44","39.52M","0.37%"
"04/08/2024","440.60","441.41","442.50","439.20","28.14M","0.03%"
"04/05/2024","440.47","436.78","443.17","435.96","54.74M","1.18%"
"04/04/2024","435.34","446.33","446.95","435.11","57.27M","-1.53%"
"04/03/2024","442.10","438.96","444.00","438.95","39.95M","0.22%"
"04/02/2024","441.11","440.08","441.43","438.03","44.26M","-0.86%"
"04/01/2024","444.95","444.97","447.53","443.02","38.73M","0.21%"
"03/28/2024","444.01","444.78","445.64","443.65","36.84M","-0.18%"
"03/27/2024","444.83","446.44","446.54","441.93","41.36M","0.34%"
"03/26/2024","443.32","446.30","447.23","443.09","34.14M","-0.32%"
"03/25/2024","444.76","443.55","446.26","442.54","27.79M","-0.36%"
"03/22/2024","446.38","445.35","447.49","444.49","28.25M","0.11%"
"03/21/2024","445.87","448.88","449.34","445.67","39.35M","0.47%"
"03/20/2024","443.77","439.78","444.11","438.06","43.65M","1.19%"
"03/19/2024","438.57","435.45","438.98","433.33","43.00M","0.25%"
"03/18/2024","437.48","438.73","441.04","437.24","47.32M","0.82%"
"03/15/2024","433.92","436.07","438.87","432.74","73.07M","-1.19%"
"03/14/2024","439.14","441.50","442.03","436.39","52.20M","-0.25%"
"03/13/2024","440.25","442.65","442.67","439.12","37.93M","-0.77%"
"03/12/2024","443.66","439.73","444.02","436.46","55.30M","1.43%"
"03/11/2024","437.39","437.51","438.66","435.44","45.86M","-0.37%"
"03/08/2024","439.02","445.81","448.64","438.34","72.10M","-1.44%"
"03/07/2024","445.45","442.42","446.72","440.86","44.53M","1.52%"
"03/06/2024","438.79","440.32","441.99","436.89","46.23M","0.63%"
"03/05/2024","436.05","440.94","440.95","433.65","57.92M","-1.79%"
"03/04/2024","444.02","445.61","446.04","443.77","34.33M","-0.36%"
"03/01/2024","445.61","439.90","446.58","439.84","43.85M","1.51%"
"02/29/2024","439.00","438.23","440.09","435.02","42.50M","0.86%"
"02/28/2024","435.27","435.43","436.67","434.30","32.94M","-0.53%"
"02/27/2024","437.60","437.67","437.99","435.02","33.71M","0.24%"
"02/26/2024","436.55","437.60","438.60","436.36","33.04M","-0.05%"
"02/23/2024","436.78","439.65","440.59","435.79","39.85M","-0.29%"
"02/22/2024","438.07","434.49","439.12","433.71","53.89M","2.93%"
"02/21/2024","425.61","424.55","425.70","421.63","50.18M","-0.40%"
"02/20/2024","427.32","428.55","430.08","423.50","54.00M","-0.75%"
"02/16/2024","430.57","434.89","434.99","429.85","53.72M","-0.91%"
"02/15/2024","434.51","433.92","434.98","431.33","38.80M","0.30%"
"02/14/2024","433.22","431.26","433.65","428.88","45.09M","1.09%"
"02/13/2024","428.55","427.28","431.27","425.33","64.49M","-1.56%"
"02/12/2024","435.34","436.94","439.14","434.65","33.20M","-0.39%"
"02/09/2024","437.05","433.94","437.85","433.14","36.94M","0.98%"
"02/08/2024","432.79","432.11","433.56","431.42","29.89M","0.19%"
"02/07/2024","431.99","430.41","432.83","429.09","37.71M","1.03%"
"02/06/2024","427.59","429.61","430.22","425.22","35.85M","-0.20%"
"02/05/2024","428.45","429.07","429.61","425.00","39.89M","-0.13%"
"02/02/2024","429.01","423.80","430.24","422.79","59.60M","1.69%"
"02/01/2024","421.88","418.79","422.38","417.81","51.01M","1.18%"
"01/31/2024","416.97","420.85","422.87","416.79","64.01M","-1.96%"
"01/30/2024","425.30","427.10","427.68","424.38","36.74M","-0.67%"
"01/29/2024","428.15","424.27","428.35","423.61","38.69M","1.02%"
"01/26/2024","423.81","424.44","426.21","423.15","37.14M","-0.60%"
"01/25/2024","426.35","428.36","429.04","423.98","44.37M","0.12%"
"01/24/2024","425.83","427.44","429.85","425.33","46.95M","0.55%"
"01/23/2024","423.48","422.43","423.70","420.57","33.00M","0.41%"
"01/22/2024","421.73","423.41","424.73","421.12","44.88M","0.13%"
"01/19/2024","421.18","415.22","421.34","414.63","70.33M","1.98%"
"01/18/2024","412.99","410.52","413.58","409.16","59.56M","1.42%"
"01/17/2024","407.21","406.17","407.58","402.92","54.39M","-0.56%"
"01/16/2024","409.52","408.31","411.12","406.83","43.90M","-0.01%"
"01/12/2024","409.56","410.40","411.25","408.15","39.59M","0.05%"
"01/11/2024","409.35","409.79","411.20","404.24","54.54M","0.21%"
"01/10/2024","408.50","406.07","409.52","405.17","33.96M","0.68%"
"01/09/2024","405.75","401.91","406.69","401.71","39.13M","0.20%"
"01/08/2024","404.95","397.99","405.24","397.84","42.47M","2.07%"
"01/05/2024","396.75","396.45","399.56","395.34","44.92M","0.12%"
"01/04/2024","396.28","396.44","399.59","396.06","39.43M","-0.51%"
"01/03/2024","398.33","399.93","401.00","397.89","47.00M","-1.06%"
"01/02/2024","402.59","405.84","406.09","400.24","58.03M","-1.69%"
"12/29/2023","409.52","411.28","411.64","407.58","42.66M","-0.43%"
"12/28/2023","411.30","412.67","412.92","410.94","27.03M","-0.05%"
"12/27/2023","411.50","410.95","411.79","410.08","31.98M","0.20%"
"12/26/2023","410.66","409.04","411.34","408.94","22.72M","0.61%"
"12/22/2023","408.17","408.79","409.75","406.27","34.31M","0.15%"
"12/21/2023","407.56","406.85","407.93","404.26","45.57M","1.16%"
"12/20/2023","402.87","408.14","410.25","402.69","54.04M","-1.49%"
"12/19/2023","408.95","407.33","409.07","407.13","35.71M","0.51%"
"12/18/2023","406.87","404.72","407.78","404.39","46.61M","0.43%"
"12/15/2023","405.13","403.97","406.33","403.36","62.90M","0.48%"
"12/14/2023","403.18","404.77","406.09","400.13","55.45M","-0.09%"
"12/13/2023","403.53","399.41","404.15","398.63","55.41M","1.27%"
"12/12/2023","398.46","395.35","398.58","394.20","39.22M","0.80%"
"12/11/2023","395.31","391.53","395.58","391.32","41.20M","0.85%"
"12/08/2023","391.96","388.47","392.41","388.28","46.69M","0.45%"
"12/07/2023","390.23","387.87","391.06","386.76","49.59M","1.40%"
"12/06/2023","384.85","390.07","390.17","384.50","41.99M","-0.58%"
"12/05/2023","387.09","384.19","388.30","384.01","42.93M","0.25%"
"12/04/2023","386.12","385.89","386.39","382.46","51.19M","-0.93%"
"12/01/2023","389.74","387.55","390.33","385.87","40.49M","0.29%"
"11/30/2023","388.63","389.88","390.35","385.62","52.83M","-0.25%"
"11/29/2023","389.61","392.48","393.93","389.26","38.81M","-0.10%"
"11/28/2023","389.99","388.21","390.57","387.85","35.49M","0.26%"
"11/27/2023","388.97","388.81","390.94","388.08","34.14M","-0.09%"
"11/24/2023","389.31","389.45","390.05","388.30","15.72M","-0.14%"
"11/22/2023","389.86","390.36","392.86","388.84","44.18M","0.41%"
"11/21/2023","388.27","388.81","389.03","386.50","43.34M","-0.58%"
"11/20/2023","390.53","385.85","391.20","385.85","44.54M","1.22%"
"11/17/2023","385.84","385.01","386.87","384.09","46.62M","0.02%"
"11/16/2023","385.75","384.64","385.99","383.36","45.34M","0.09%"
"11/15/2023","385.42","387.05","387.55","384.03","54.14M","0.08%"
"11/14/2023","385.13","383.51","386.06","382.98","67.79M","2.15%"
"11/13/2023","377.01","376.59","378.08","375.04","40.73M","-0.31%"
"11/10/2023","378.19","371.62","378.34","371.09","58.37M","2.25%"
"11/09/2023","369.88","373.44","374.60","369.38","53.86M","-0.77%"
"11/08/2023","372.74","372.88","373.59","370.43","35.66M","0.06%"
"11/07/2023","372.50","370.08","373.38","368.85","50.78M","0.95%"
"11/06/2023","369.02","368.30","369.59","366.72","38.85M","0.41%"
"11/03/2023","367.52","364.56","368.83","364.33","53.28M","1.17%"
